* Measurement data measured by REW V5.20.4
* Source: Umik-1  Gain: 12dB  , MICROPHONE, L, volume: 1.000. Timing signal peak level -17.3 dBFS, measurement signal peak level -8.3 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Mar 25, 2022 9:53:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0204 ms (-7.0 mm, -0.28 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: 80Hz Target Mar 25
* Smoothing: Psychoacoustic
* Frequency Step: 0.36621097 Hz
* Start Frequency: 50.1709 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
244.995133, 86.571, -44.1402
245.361344, 86.580, -44.3565
245.727555, 86.589, -44.5724
246.093766, 86.598, -44.7880
246.459977, 86.607, -45.0033
246.826188, 86.617, -45.2183
247.192399, 86.627, -45.4330
247.558610, 86.637, -45.6476
247.924821, 86.647, -45.8621
248.291032, 86.657, -46.0765
248.657243, 86.667, -46.2909
249.023454, 86.677, -46.5052
249.389665, 86.688, -46.7197
249.755876, 86.698, -46.9342
250.122087, 86.709, -47.1489
250.488298, 86.720, -47.3638
250.854509, 86.731, -47.5790
251.220719, 86.742, -47.7944
251.586930, 86.753, -48.0103
251.953141, 86.764, -48.2264
252.319352, 86.775, -48.4431
252.685563, 86.787, -48.6602
253.051774, 86.798, -48.8777
253.417985, 86.810, -49.0959
253.784196, 86.821, -49.3146
254.150407, 86.833, -49.5340
254.516618, 86.845, -49.7540
254.882829, 86.857, -49.9746
255.249040, 86.868, -50.1960
255.615251, 86.880, -50.4181
255.981462, 86.892, -50.6410
256.347673, 86.904, -50.8647
256.713884, 86.916, -51.0892
257.080095, 86.928, -51.3145
257.446306, 86.940, -51.5406
257.812517, 86.951, -51.7676
258.178728, 86.963, -51.9955
258.544939, 86.975, -52.2244
258.911150, 86.987, -52.4540
259.277361, 86.999, -52.6846
259.643572, 87.010, -52.9161
260.009783, 87.022, -53.1486
260.375994, 87.034, -53.3820
260.742205, 87.045, -53.6163
261.108416, 87.057, -53.8516
261.474627, 87.068, -54.0877
261.840838, 87.080, -54.3248
262.207049, 87.091, -54.5627
262.573259, 87.102, -54.8016
262.939470, 87.113, -55.0414
263.305681, 87.124, -55.2821
263.671892, 87.135, -55.5237
264.038103, 87.146, -55.7661
264.404314, 87.156, -56.0094
264.770525, 87.167, -56.2535
265.136736, 87.177, -56.4984
265.502947, 87.188, -56.7441
265.869158, 87.198, -56.9906
266.235369, 87.208, -57.2379
266.601580, 87.218, -57.4858
266.967791, 87.227, -57.7345
267.334002, 87.237, -57.9838
267.700213, 87.246, -58.2338
268.066424, 87.256, -58.4845
268.432635, 87.265, -58.7358
268.798846, 87.274, -58.9876
269.165057, 87.283, -59.2400
269.531268, 87.291, -59.4929
269.897479, 87.300, -59.7463
270.263690, 87.308, -60.0002
270.629901, 87.316, -60.2546
270.996112, 87.324, -60.5095
271.362323, 87.332, -60.7646
271.728534, 87.340, -61.0202
272.094745, 87.347, -61.2761
272.460956, 87.355, -61.5323
272.827167, 87.362, -61.7889
273.193378, 87.369, -62.0457
273.559588, 87.376, -62.3028
273.925799, 87.383, -62.5601
274.292010, 87.389, -62.8176
274.658221, 87.395, -63.0753
275.024432, 87.402, -63.3331
275.390643, 87.408, -63.5910
275.756854, 87.414, -63.8491
276.123065, 87.419, -64.1072
276.489276, 87.425, -64.3654
276.855487, 87.430, -64.6236
277.221698, 87.435, -64.8818
277.587909, 87.440, -65.1401
277.954120, 87.445, -65.3983
278.320331, 87.450, -65.6565
278.686542, 87.455, -65.9147
279.052753, 87.459, -66.1727
279.418964, 87.463, -66.4307
279.785175, 87.467, -66.6886
280.151386, 87.471, -66.9464
280.517597, 87.475, -67.2040
280.883808, 87.479, -67.4614
281.250019, 87.482, -67.7187
281.616230, 87.485, -67.9758
281.982441, 87.488, -68.2327
282.348652, 87.491, -68.4893
282.714863, 87.494, -68.7457
283.081074, 87.497, -69.0019
283.447285, 87.499, -69.2578
283.813496, 87.502, -69.5134
284.179707, 87.504, -69.7687
284.545918, 87.506, -70.0236
284.912128, 87.508, -70.2783
285.278339, 87.509, -70.5325
285.644550, 87.511, -70.7864
286.010761, 87.512, -71.0400
286.376972, 87.513, -71.2931
286.743183, 87.514, -71.5458
287.109394, 87.515, -71.7980
287.475605, 87.516, -72.0498
287.841816, 87.517, -72.3011
288.208027, 87.517, -72.5519
288.574238, 87.517, -72.8022
288.940449, 87.517, -73.0519
289.306660, 87.517, -73.3011
289.672871, 87.517, -73.5497
290.039082, 87.516, -73.7977
290.405293, 87.516, -74.0451
290.771504, 87.515, -74.2919
291.137715, 87.514, -74.5380
291.503926, 87.513, -74.7833
291.870137, 87.512, -75.0280
292.236348, 87.510, -75.2720
292.602559, 87.508, -75.5151
292.968770, 87.506, -75.7575
293.334981, 87.504, -75.9991
293.701192, 87.502, -76.2398
294.067403, 87.500, -76.4797
294.433614, 87.497, -76.7187
294.799825, 87.495, -76.9568
295.166036, 87.492, -77.1940
295.532247, 87.489, -77.4302
295.898457, 87.485, -77.6654
296.264668, 87.482, -77.8997
296.630879, 87.478, -78.1329
296.997090, 87.474, -78.3650
297.363301, 87.471, -78.5961
297.729512, 87.466, -78.8260
298.095723, 87.462, -79.0549
298.461934, 87.458, -79.2825
298.828145, 87.453, -79.5090
299.194356, 87.448, -79.7343
299.560567, 87.443, -79.9584
299.926778, 87.438, -80.1812
300.292989, 87.432, -80.4028
300.659200, 87.427, -80.6230
301.025411, 87.421, -80.8420
301.391622, 87.415, -81.0597
301.757833, 87.409, -81.2760
302.124044, 87.403, -81.4910
302.490255, 87.397, -81.7045
302.856466, 87.390, -81.9167
303.222677, 87.384, -82.1274
303.588888, 87.377, -82.3368
303.955099, 87.370, -82.5447
304.321310, 87.363, -82.7512
304.687521, 87.355, -82.9562
305.053732, 87.348, -83.1598
305.419943, 87.341, -83.3619
305.786154, 87.333, -83.5625
306.152365, 87.325, -83.7617
306.518576, 87.317, -83.9593
306.884787, 87.309, -84.1555
307.250997, 87.301, -84.3501
307.617208, 87.293, -84.5433
307.983419, 87.285, -84.7349
308.349630, 87.276, -84.9251
308.715841, 87.267, -85.1138
309.082052, 87.259, -85.3011
309.448263, 87.250, -85.4868
309.814474, 87.241, -85.6711
310.180685, 87.232, -85.8539
310.546896, 87.223, -86.0353
310.913107, 87.214, -86.2152
311.279318, 87.205, -86.3937
311.645529, 87.196, -86.5709
312.011740, 87.187, -86.7466
312.377951, 87.177, -86.9209
312.744162, 87.168, -87.0938
313.110373, 87.158, -87.2654
313.476584, 87.149, -87.4356
313.842795, 87.139, -87.6045
314.209006, 87.130, -87.7721
314.575217, 87.120, -87.9384
314.941428, 87.111, -88.1035
315.307639, 87.101, -88.2673
315.673850, 87.091, -88.4298
316.040061, 87.081, -88.5912
316.406272, 87.072, -88.7513
316.772483, 87.062, -88.9103
317.138694, 87.052, -89.0682
317.504905, 87.042, -89.2249
317.871116, 87.033, -89.3804
318.237327, 87.023, -89.5349
318.603537, 87.013, -89.6883
318.969748, 87.003, -89.8406
319.335959, 86.994, -89.9919
319.702170, 86.984, -90.1423
320.068381, 86.974, -90.2916
320.434592, 86.964, -90.4399
320.800803, 86.955, -90.5872
321.167014, 86.945, -90.7336
321.533225, 86.935, -90.8792
